index,name,type_code,type_name,addressable,parent_index,region,area,city,settlement,act_date,url
102087,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102087/
102088,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102088/
102089,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102089/
102090,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102090/
102091,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102091/
102092,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102092/
102093,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102093/
102094,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102094/
102095,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102095/
102096,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102096/
102097,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102097/
102098,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102098/
102099,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102099/
102100,Москва-Ярославский Вокзал Пждп,ПЖДП,ПЖДП,0,101700,Москва,,,,2016-01-15,https://pochtovyindex.ru/index/102100/
102101,Москва-Ярославский Вокзал Пждп-1,О,Отделение почтовой связи,1,102100,Москва,,,,2006-10-10,https://pochtovyindex.ru/index/102101/
102102,Москва-Ярославский Вокзал Пждп Цех-1,ЦЕХ,Цех,0,102100,Москва,,,,2009-04-17,https://pochtovyindex.ru/index/102102/
102103,Москва-Ярославский Вокзал Пждп Цех 3,ЦЕХ,Цех,0,102100,Москва,,,,2006-05-11,https://pochtovyindex.ru/index/102103/
102104,Москва-Ярославский Вокзал Пждп Цех-3 Уч-3.1,УЧАСТОК,УЧАСТОК,0,102100,Москва,,,,2007-04-18,https://pochtovyindex.ru/index/102104/
102105,Москва-Ярославский Вокзал Пждп Цех-3 Уч-3.2,УЧАСТОК,УЧАСТОК,0,102100,Москва,,,,2007-11-19,https://pochtovyindex.ru/index/102105/
102106,Москва-Ярославский Вокзал Пждп Цех-3 Уч-3.3,УЧАСТОК,УЧАСТОК,0,102100,Москва,,,,2007-11-19,https://pochtovyindex.ru/index/102106/
102107,Москва-Ярославский Вокзал Пждп Цех-3 Уч-3.4,УЧАСТОК,УЧАСТОК,0,102100,Москва,,,,2013-07-19,https://pochtovyindex.ru/index/102107/
102121,Москва-Дти,ДТИ,Дополнительный технический индекс,0,102001,Москва,,,,2019-06-28,https://pochtovyindex.ru/index/102121/
102122,Москва-Дти,ДТИ,Дополнительный технический индекс,0,102001,Москва,,,,2019-06-28,https://pochtovyindex.ru/index/102122/
102150,Москва-Павелецкий Вокзал Пждп,ПЖДП,ПЖДП,0,101700,Москва,,,,2016-01-15,https://pochtovyindex.ru/index/102150/
102151,Москва-Павелецкий Вокзал Пждп-1,О,Отделение почтовой связи,1,102150,Москва,,,,2006-10-10,https://pochtovyindex.ru/index/102151/
102152,Москва-Павелецкий Вокзал Пждп Цех- 1,ЦЕХ,Цех,0,102150,Москва,,,,2007-04-18,https://pochtovyindex.ru/index/102152/
102153,Москва-Павелецкий Вокзал Пждп Цех-3,ЦЕХ,Цех,0,102150,Москва,,,,2007-04-18,https://pochtovyindex.ru/index/102153/
102160,Москва-Павелецкий Вокзал Уопп,УЧАСТОК,УЧАСТОК,0,102150,Москва,,,,2007-04-20,https://pochtovyindex.ru/index/102160/
102161,Москва-Павелецкий Вокзал Уопп Уч. Тары,ТИ,Технический индекс,0,102150,Москва,,,,2010-12-08,https://pochtovyindex.ru/index/102161/
102162,Москва-Павелецкий Вокзал Пждп Pi-Z,ТИ,Технический индекс,0,102150,Москва,,,,2011-08-16,https://pochtovyindex.ru/index/102162/
102220,Москва-Киевский Вокзал Опп,ОПП,ОПП,0,101700,Москва,,,,2017-04-27,https://pochtovyindex.ru/index/102220/
102221,Москва-Ярославский Вокзал Пждп Цех-4,ЦЕХ,Цех,0,102100,Москва,,,,2010-03-18,https://pochtovyindex.ru/index/102221/
102240,Москва-Белорусский Вокзал Опп,ОПП,ОПП,0,101700,Москва,,,,2017-04-27,https://pochtovyindex.ru/index/102240/
102241,Москва-Белорусский Вокзал Опп-1,О,Отделение почтовой связи,1,102240,Москва,,,,2006-10-10,https://pochtovyindex.ru/index/102241/
102300,Москва-Внуково Аопп,АОПП,АОПП,0,101700,Москва,,,,2016-01-15,https://pochtovyindex.ru/index/102300/
102301,Москва-Внуково Аопп-1,О,Отделение почтовой связи,1,102300,Москва,,,,2018-05-07,https://pochtovyindex.ru/index/102301/
102302,Москва-Внуково Аопп Цех-1,ЦЕХ,Цех,0,102300,Москва,,,,2009-04-17,https://pochtovyindex.ru/index/102302/
102320,Домодедово Аопп,АОПП,АОПП,0,144700,Московская область,,Домодедово,,2016-01-15,https://pochtovyindex.ru/index/102320/
102321,Москва-Домодедово Аопп-1,О,Отделение почтовой связи,1,102320,Московская область,,Домодедово,,2016-01-15,https://pochtovyindex.ru/index/102321/
102322,Домодедово Аопп Уч-1,УЧАСТОК,УЧАСТОК,0,102320,Московская область,,Домодедово,,2016-01-15,https://pochtovyindex.ru/index/102322/
102324,Домодедово Аопп Уч-2,УЧАСТОК,УЧАСТОК,0,102320,Московская область,,Домодедово,,2016-01-15,https://pochtovyindex.ru/index/102324/
102325,Домодедово Аопп Ems,УЧАСТОК,УЧАСТОК,0,102320,Московская область,,Домодедово,,2016-01-15,https://pochtovyindex.ru/index/102325/
102326,Домодедово Аопп Ммпо,ММПО,Место международного почтового обмена,0,102320,Московская область,,Домодедово,,2016-02-17,https://pochtovyindex.ru/index/102326/
102329,Домодедово Атп,АТП,АТП,0,144700,Московская область,,Домодедово,,2024-06-17,https://pochtovyindex.ru/index/102329/
102830,Москва-Дти,ДТИ,Дополнительный технический индекс,0,102151,Москва,,,,2010-04-16,https://pochtovyindex.ru/index/102830/
